file               offset kind         packed   unpacked depth  sha1
cd32rez            468564 RNC2            112        136     0  63856d9b4668
cd32rez            468676 RNC2            106        136     0  328b1772cd19
cd32rez            468782 RNC2            108        136     0  464da19fb31e
cd32rez            468890 RNC2            105        136     0  c466d1275162
cd32rez            468996 RNC2            129        136     0  d77e9065494e
cd32rez            469126 RNC2            131        136     0  8d85d7311a2f
cd32rez            469258 RNC2            126        136     0  f8e7db65e9a9
cd32rez            469488 RNC2            125        136     0  eaa85dc05514
cd32rez            469614 RNC2            122        136     0  9797fa509c2e
cd32rez            469736 RNC2            123        136     0  3acfb71bd0ac
cd32rez            469860 RNC2            127        136     0  6f32ead06ad9
cd32rez            469988 RNC2            123        136     0  48333188db32
cd32rez            470112 RNC2            126        136     0  b862374b7f90
cd32rez            470238 RNC2            120        136     0  aafcd76be2f7
cd32rez            470358 RNC2            120        136     0  91153632f9f9
cd32rez            470478 RNC2            122        136     0  2fad9d9f202e
cd32rez            470600 RNC2            122        136     0  d14517195c4b
cd32rez            470722 RNC2            120        136     0  ee8c260afac1
cd32rez            470842 RNC2            122        136     0  106c5f2bc33b
cd32rez            470964 RNC2            128        136     0  6ff9b00372d1
cd32rez            471092 RNC2            130        136     0  53ab8db9c064
cd32rez            471222 RNC2            119        136     0  b388ed263e70
cd32rez            471342 RNC2            118        136     0  0e211d866baf
cd32rez            471460 RNC2             89        136     0  675458f040a1
cd32rez            471550 RNC2            100        136     0  f1911d34b876
cd32rez            471650 RNC2            101        136     0  003ebddfa4a9
cd32rez            471752 RNC2            100        136     0  d39b203dfb1f
cd32rez            471852 RNC2             97        136     0  2f903c0bb6a2
cd32rez            471950 RNC2             98        136     0  85f7843db3c7
cd32rez            472048 RNC2            112        136     0  b318bd7df5b9
cd32rez            472160 RNC2            111        136     0  ec48e4326a57
cd32rez            472272 RNC2            110        136     0  92f988a6a33b
cd32rez            472382 RNC2            109        136     0  d697241b4ce7
cd32rez            472492 RNC2             86        136     0  dcc648d1591c
cd32rez            472578 RNC2             86        136     0  eb4f63e83e40
cd32rez            472664 RNC2             86        136     0  ad8865ccc693
cd32rez            472750 RNC2             86        136     0  0740841314e8
cd32rez            472836 RNC2            102        136     0  0b77c3f06a53
cd32rez            472938 RNC2             99        136     0  5514b45e2ff9
cd32rez            473038 RNC2             93        136     0  1d1972ce4f8a
cd32rez            473132 RNC2            103        136     0  9469676bbff0
cd32rez            473236 RNC2             93        136     0  156932c44ec9
cd32rez            473330 RNC2             91        136     0  9257e3253dbd
cd32rez            473422 RNC2             66        136     0  14ba4174865c
cd32rez            473488 RNC2            123        136     0  ddfce20a9ca3
cd32rez            473612 RNC2            117        136     0  923870485103
cd32rez            473730 RNC2            120        136     0  aa5afb20fb43
