file               offset kind         packed   unpacked depth  sha1
cd32rez            621706 RNC2            105        208     0  2e76e11b7b81
cd32rez            622148 RNC2            178        208     0  d67a6d3589fc
cd32rez            622326 RNC2            177        208     0  af6a1fcb7b3d
cd32rez            622752 RNC2            779       1302     0  02fa2f70b136
cd32rez            623532 RNC2            172        220     0  0f87339ba869
cd32rez            623704 RNC2            346        490     0  6f8dce0c8e05
cd32rez            624050 RNC2            625       1242     0  d7b030702ded
cd32rez            624676 RNC2            128        198     0  af2569b50ae8
cd32rez            624804 RNC2            417        836     0  770e73065f35
cd32rez            625222 RNC2            446        888     0  19a0ce19c0c4
cd32rez            625668 RNC2            411        736     0  90934c3ee5eb
cd32rez            626080 RNC2            364        728     0  5058f41a429c
cd32rez            626444 RNC2            237        414     0  17e3ea70ce10
cd32rez            626682 RNC2            245        336     0  4bdef32904d4
cd32rez            626928 RNC2            374        616     0  282d16462618
cd32rez            627302 RNC2            667       1338     0  c95efe745c16
cd32rez            627970 RNC2            153        202     0  47c5ab589407
cd32rez            628124 RNC2            272        618     0  c66d16fb8265
cd32rez            628396 RNC2            333        736     0  7286ed49e269
cd32rez            628730 RNC2            297        524     0  a335659a59c6
cd32rez            629028 RNC2            198        278     0  bcc5f7b82b6f
cd32rez            629226 RNC2            343        574     0  6abf4bb48a79
cd32rez            629570 RNC2            294        494     0  bad3e8ef23ab
cd32rez            629864 RNC2             74         86     0  537903a5197b
cd32rez            629938 RNC2             94        110     0  4f8ef2771e08
cd32rez            630032 RNC2             72         82     0  a39135b22933
cd32rez            630104 RNC2             72         82     0  b9cde7e886c8
cd32rez            630176 RNC2            334        602     0  a351f3b532fe
cd32rez            630510 RNC2            130        200     0  40152b4235f0
cd32rez            630640 RNC2            799       1978     0  e90ed00b29ff
cd32rez            631440 RNC2            708       1518     0  316a74dc48d8
cd32rez            632148 RNC2            819       2090     0  201d6487c08d
cd32rez            632968 RNC2            223        436     0  182130226ceb
cd32rez            633192 RNC2            218        452     0  0ace0dc209d1
cd32rez            633410 RNC2            188        260     0  ccc52fade432
cd32rez            633598 RNC2            212        380     0  595163768668
cd32rez            633810 RNC2            267        634     0  d019f88c05d4
cd32rez            634078 RNC2            205        398     0  ae037aed1a65
cd32rez            634284 RNC2            275        484     0  675eb82fad1b
cd32rez            634560 RNC2            431        996     0  9b3ac5195325
cd32rez            634992 RNC2            287        510     0  b196e5c11494
cd32rez            635280 RNC2            120        168     0  cc50e80ae73d
cd32rez            635400 RNC2            250        552     0  68030fd7f534
cd32rez            635650 RNC2            446        630     0  6af670fa4b4b
cd32rez            636096 RNC2            445        630     0  d286ae29e12b
cd32rez            636542 RNC2            522        780     0  92fc43b79190
cd32rez            637064 RNC2            484        708     0  b3dd39310985
cd32rez            637548 RNC2            543        788     0  1262f5afb14e
cd32rez            638092 RNC2            528        776     0  d064e986ee8c
cd32rez            638620 RNC2            498        716     0  1286fe52bc2e
cd32rez            639118 RNC2            535        784     0  9d51fd9f84be
cd32rez            639654 RNC2            536        784     0  0841afee5e20
cd32rez            640190 RNC2            199        250     0  359cb8d090cd
cd32rez            640390 RNC2            159        184     0  a16f3691451c
cd32rez            640550 RNC2            200        382     0  b5e68be770ec
cd32rez            640750 RNC2            288        412     0  d7f0affaf6a4
cd32rez            641038 RNC2            288        412     0  6e105f5e63cf
cd32rez            641326 RNC2            359        502     0  a8fd3a6cdfff
    cd32rez      526 streams, 616483/641768 bytes covered (96.1%)
pirates            173052 RNC2            546       1536     0  99388c0ba7c2
pirates            174362 RNC2           5613      13728     0  30018cf319ad
pirates            180118 RNC2            607       1344     0  0ca0579c2c3d
pirates            181752 RNC2           8159      21696     0  a23b6fcf6e74
pirates            190190 RNC2           1104      23424     0  8dd0536a2615
pirates            192870 RNC2          10908      23232     0  7f5b2da7df53
pirates            206434 RNC2          24932      83040     0  bef808fb7f85
pirates            233208 RNC2           9195      30912     0  6b9d354f59bc
    pirates      8 streams, 61064/383568 bytes covered (15.9%)
pirates_german     173052 RNC2            546       1536     0  99388c0ba7c2
pirates_german     174362 RNC2           5613      13728     0  30018cf319ad
pirates_german     180118 RNC2            607       1344     0  0ca0579c2c3d
pirates_german     181752 RNC2           8159      21696     0  a23b6fcf6e74
pirates_german     190190 RNC2           1104      23424     0  8dd0536a2615
pirates_german     192870 RNC2          10908      23232     0  7f5b2da7df53
pirates_german     206434 RNC2          24932      83040     0  bef808fb7f85
pirates_german     233208 RNC2           9195      30912     0  6b9d354f59bc
    pirates_german 8 streams, 61064/383724 bytes covered (15.9%)
total unpacked bytes: 1821390
